group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
Ligue 1,1,Paris Saint Germain,85,34,26,6,2,84,92,35,57
Ligue 1,2,Marseille,81,34,20,5,9,65,74,47,27
Ligue 1,3,Monaco,91,34,18,7,9,61,63,41,22
Ligue 1,4,Nice,84,34,17,9,8,60,66,41,25
Ligue 1,5,Lille,79,34,17,9,8,60,52,36,16
Ligue 1,6,Lyon,80,34,17,6,11,57,65,46,19
Ligue 1,7,Strasbourg,95,34,16,9,9,57,56,44,12
Ligue 1,8,Lens,116,34,15,7,12,52,42,39,3
Ligue 1,9,Stade Brestois 29,106,34,15,5,14,50,52,59,-7
Ligue 1,10,Toulouse,96,34,11,9,14,42,44,43,1
Ligue 1,11,Auxerre,108,34,11,9,14,42,48,51,-3
Ligue 1,12,Rennes,94,34,13,2,19,41,51,50,1
Ligue 1,13,Nantes,83,34,8,12,14,36,39,52,-13
Ligue 1,14,Angers,77,34,10,6,18,36,32,53,-21
Ligue 1,15,Le Havre,111,34,10,4,20,34,40,71,-31
Ligue 1,16,Reims,93,34,8,9,17,33,33,47,-14
Ligue 1,17,Saint Etienne,1063,34,8,6,20,30,39,77,-38
Ligue 1,18,Montpellier,82,34,4,4,26,16,23,79,-56
