group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
La Liga,1,Athletic Club,531,0,0,0,0,0,0,0,0
La Liga,2,Atletico Madrid,530,0,0,0,0,0,0,0,0
La Liga,3,Osasuna,727,0,0,0,0,0,0,0,0
La Liga,4,Alaves,542,0,0,0,0,0,0,0,0
La Liga,5,Elche,797,0,0,0,0,0,0,0,0
La Liga,6,Barcelona,529,0,0,0,0,0,0,0,0
La Liga,7,Getafe,546,0,0,0,0,0,0,0,0
La Liga,8,Levante,539,0,0,0,0,0,0,0,0
La Liga,9,Malaga,535,0,0,0,0,0,0,0,0
La Liga,10,Racing Santander,4665,0,0,0,0,0,0,0,0
La Liga,11,Celta Vigo,538,0,0,0,0,0,0,0,0
La Liga,12,Deportivo La Coruna,544,0,0,0,0,0,0,0,0
La Liga,13,Espanyol,540,0,0,0,0,0,0,0,0
La Liga,14,Rayo Vallecano,728,0,0,0,0,0,0,0,0
La Liga,15,Real Betis,543,0,0,0,0,0,0,0,0
La Liga,16,Real Madrid,541,0,0,0,0,0,0,0,0
La Liga,17,Real Sociedad,548,0,0,0,0,0,0,0,0
La Liga,18,Sevilla,536,0,0,0,0,0,0,0,0
La Liga,19,Valencia,532,0,0,0,0,0,0,0,0
La Liga,20,Villarreal,533,0,0,0,0,0,0,0,0
