group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
Premier League,1,Arsenal,42,0,0,0,0,0,0,0,0
Premier League,2,Aston Villa,66,0,0,0,0,0,0,0,0
Premier League,3,Bournemouth,35,0,0,0,0,0,0,0,0
Premier League,4,Brentford,55,0,0,0,0,0,0,0,0
Premier League,5,Brighton,51,0,0,0,0,0,0,0,0
Premier League,6,Chelsea,49,0,0,0,0,0,0,0,0
Premier League,7,Coventry,1346,0,0,0,0,0,0,0,0
Premier League,8,Crystal Palace,52,0,0,0,0,0,0,0,0
Premier League,9,Everton,45,0,0,0,0,0,0,0,0
Premier League,10,Fulham,36,0,0,0,0,0,0,0,0
Premier League,11,Hull City,64,0,0,0,0,0,0,0,0
Premier League,12,Ipswich,57,0,0,0,0,0,0,0,0
Premier League,13,Leeds,63,0,0,0,0,0,0,0,0
Premier League,14,Liverpool,40,0,0,0,0,0,0,0,0
Premier League,15,Manchester City,50,0,0,0,0,0,0,0,0
Premier League,16,Manchester United,33,0,0,0,0,0,0,0,0
Premier League,17,Newcastle,34,0,0,0,0,0,0,0,0
Premier League,18,Nottingham Forest,65,0,0,0,0,0,0,0,0
Premier League,19,Sunderland,746,0,0,0,0,0,0,0,0
Premier League,20,Tottenham,47,0,0,0,0,0,0,0,0
