group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
Serie A,1,Atalanta,499,0,0,0,0,0,0,0,0
Serie A,2,Bologna,500,0,0,0,0,0,0,0,0
Serie A,3,Cagliari,490,0,0,0,0,0,0,0,0
Serie A,4,Como,895,0,0,0,0,0,0,0,0
Serie A,5,Fiorentina,502,0,0,0,0,0,0,0,0
Serie A,6,Frosinone,512,0,0,0,0,0,0,0,0
Serie A,7,Genoa,495,0,0,0,0,0,0,0,0
Serie A,8,Inter,505,0,0,0,0,0,0,0,0
Serie A,9,Juventus,496,0,0,0,0,0,0,0,0
Serie A,10,Lazio,487,0,0,0,0,0,0,0,0
Serie A,11,Lecce,867,0,0,0,0,0,0,0,0
Serie A,12,AC Milan,489,0,0,0,0,0,0,0,0
Serie A,13,Monza,1579,0,0,0,0,0,0,0,0
Serie A,14,Napoli,492,0,0,0,0,0,0,0,0
Serie A,15,Parma,523,0,0,0,0,0,0,0,0
Serie A,16,AS Roma,497,0,0,0,0,0,0,0,0
Serie A,17,Sassuolo,488,0,0,0,0,0,0,0,0
Serie A,18,Torino,503,0,0,0,0,0,0,0,0
Serie A,19,Udinese,494,0,0,0,0,0,0,0,0
Serie A,20,Venezia,517,0,0,0,0,0,0,0,0
